,state,participation_17,english_17,math_17,reading_17,science_17,composite_17,participation_18,english_18,math_18,reading_18,science_18,composite_18,participation_19,english_19,math_19,reading_19,science_19,composite_19
1,Alabama,1.0,18.9,18.4,19.7,19.4,19.2,1.0,18.9,18.3,19.6,19.0,19.1,1.0,18.7,18.1,19.5,18.8,18.9
2,Alaska,0.65,18.7,19.8,20.4,19.9,19.8,0.33,19.8,20.6,21.6,20.7,20.8,0.38,18.9,19.9,20.9,20.2,20.1
3,Arizona,0.62,18.6,19.8,20.1,19.8,19.7,0.66,18.2,19.4,19.5,19.2,19.2,0.73,17.9,19.2,19.3,19.0,19.0
4,Arkansas,1.0,18.9,19.0,19.7,19.5,19.4,1.0,19.1,18.9,19.7,19.4,19.4,1.0,19.0,18.7,19.6,19.2,19.3
5,California,0.31,22.5,22.7,23.1,22.2,22.8,0.27,22.5,22.5,23.0,22.1,22.7,0.23,22.4,22.3,23.0,22.2,22.6
6,Colorado,1.0,20.1,20.3,21.2,20.9,20.8,0.3,23.9,23.2,24.4,23.5,23.9,0.27,23.8,23.3,24.3,23.4,23.8
7,Connecticut,0.31,25.5,24.6,25.6,24.6,25.2,0.26,26.0,24.8,26.1,24.9,25.6,0.22,25.9,24.7,26.1,24.8,25.5
8,Delaware,0.18,24.1,23.4,24.8,23.6,24.1,0.17,23.7,23.1,24.5,23.4,23.8,0.13,23.9,23.1,24.7,23.5,24.1
9,District of Columbia,0.32,24.4,23.5,24.9,23.5,24.2,0.32,23.7,22.7,24.4,23.0,23.6,0.32,23.6,22.7,24.4,22.9,23.5
10,Florida,0.73,19.0,19.4,21.0,19.4,19.8,0.66,19.2,19.3,21.1,19.5,19.9,0.54,19.5,19.5,21.2,19.7,20.1
11,Georgia,0.55,21.0,20.9,22.0,21.3,21.4,0.53,20.9,20.7,22.1,21.2,21.4,0.49,20.9,20.7,22.2,21.2,21.4
12,Hawaii,0.9,17.8,19.2,19.2,19.3,19.0,0.89,18.2,19.0,19.1,19.0,18.9,0.8,17.9,19.2,19.2,19.2,19.0
13,Idaho,0.38,21.9,21.8,23.0,22.1,22.3,0.36,21.9,21.6,23.2,22.1,22.3,0.31,21.9,21.9,23.4,22.2,22.5
14,Illinois,0.93,21.0,21.2,21.6,21.3,21.4,0.43,24.1,23.4,24.2,23.4,23.9,0.35,24.5,23.8,24.7,23.7,24.3
15,Indiana,0.35,22.0,22.4,23.2,22.3,22.6,0.32,21.9,22.3,23.1,22.2,22.5,0.29,21.7,22.3,23.1,22.2,22.5
16,Iowa,0.67,21.2,21.3,22.6,22.1,21.9,0.68,21.0,21.2,22.5,22.0,21.8,0.66,20.8,21.0,22.3,21.8,21.6
17,Kansas,0.73,21.1,21.3,22.3,21.7,21.7,0.71,21.0,21.1,22.3,21.5,21.6,0.72,20.5,20.7,21.8,21.1,21.2
18,Kentucky,1.0,19.6,19.4,20.5,20.1,20.0,1.0,19.9,19.7,20.8,20.1,20.2,1.0,19.5,19.2,20.5,19.6,19.8
19,Louisiana,1.0,19.4,18.8,19.8,19.6,19.5,1.0,19.0,18.5,19.6,19.1,19.2,1.0,18.7,18.2,19.2,18.8,18.8
21,Maryland,0.28,23.3,23.1,24.2,2.3,23.6,0.31,22.1,22.0,23.1,22.2,22.5,0.28,22.0,21.7,23.1,22.1,22.3
22,Massachusetts,0.29,25.4,25.3,25.9,24.7,25.4,0.25,25.5,25.2,25.9,24.7,25.5,0.21,25.5,25.2,26.1,24.8,25.5
23,Michigan,0.29,24.1,23.7,24.5,23.8,24.1,0.22,24.5,23.9,24.7,23.9,24.2,0.19,24.5,24.0,24.8,24.0,24.4
24,Minnesota,1.0,20.4,21.5,21.8,21.6,21.5,0.99,20.2,21.4,21.7,21.4,21.3,0.95,20.3,21.4,21.7,21.6,21.4
25,Mississippi,1.0,18.2,18.1,18.8,18.8,18.6,1.0,18.2,18.1,18.9,18.6,18.6,1.0,18.1,17.9,18.9,18.4,18.4
26,Missouri,1.0,19.8,19.9,20.8,20.5,20.4,1.0,19.5,19.7,20.5,20.0,20.0,0.82,20.3,20.2,21.3,20.8,20.8
27,Montana,1.0,19.0,20.2,21.0,20.5,20.3,1.0,18.7,19.9,20.7,20.0,20.0,1.0,18.7,19.7,20.6,19.9,19.8
28,Nebraska,0.84,20.9,20.9,21.9,21.5,21.4,1.0,19.4,19.8,20.4,20.1,20.1,1.0,19.4,19.7,20.3,20.2,20.0
29,Nevada,1.0,16.3,18.0,18.1,18.2,17.8,1.0,16.6,17.8,18.0,17.9,17.7,1.0,16.8,18.0,18.2,17.9,17.9
30,New Hampshire,0.18,25.4,25.1,26.0,24.9,25.5,0.16,25.1,24.7,25.6,24.4,25.1,0.14,24.9,24.7,25.6,24.5,25.0
31,New Jersey,0.34,23.8,23.8,24.1,23.2,23.9,0.31,23.8,23.6,24.0,23.0,23.7,0.25,24.3,24.0,24.6,23.6,24.2
32,New Mexico,0.66,18.6,19.4,20.4,20.0,19.7,0.67,18.3,19.1,20.1,19.7,19.4,0.63,18.1,18.9,20.0,19.6,19.3
33,New York,0.31,23.8,24.0,24.6,23.9,24.2,0.27,24.2,24.2,24.9,24.2,24.5,0.22,24.1,24.1,25.0,24.4,24.5
34,North Carolina,1.0,17.8,19.3,19.6,19.3,19.1,1.0,18.0,19.3,19.5,19.2,19.1,1.0,17.8,19.2,19.4,19.0,19.0
35,North Dakota,0.98,19.0,20.4,20.5,20.6,20.3,0.98,19.1,20.3,20.7,20.5,20.3,0.96,18.6,19.9,20.3,20.2,19.9
36,Ohio,0.75,21.2,21.6,22.5,22.0,22.0,1.0,19.3,20.3,20.8,20.4,20.3,1.0,19.0,19.9,20.5,20.1,20.0
37,Oklahoma,1.0,18.5,18.8,20.1,19.6,19.4,1.0,18.4,18.8,20.1,19.4,19.3,1.0,18.2,18.3,19.6,19.0,18.9
38,Oregon,0.4,21.2,21.5,22.4,21.7,21.8,0.42,20.6,20.9,21.9,21.1,21.3,0.42,20.3,20.8,21.7,21.1,21.1
39,Pennsylvania,0.23,23.4,23.4,24.2,23.3,23.7,0.2,23.3,23.2,24.0,23.1,23.5,0.17,23.3,23.1,24.1,23.2,23.6
40,Rhode Island,0.21,24.0,23.3,24.7,23.4,24.0,0.15,24.4,23.6,25.0,23.5,24.2,0.12,25.0,23.9,25.5,24.0,24.7
41,South Carolina,1.0,17.5,18.6,19.1,18.9,18.7,1.0,17.3,18.2,18.6,18.5,18.3,0.78,18.0,18.7,19.4,18.9,18.8
42,South Dakota,0.8,20.7,21.5,22.3,22.0,21.8,0.77,20.8,21.6,22.4,22.2,21.9,0.75,20.7,21.3,22.2,21.9,21.6
43,Tennessee,1.0,19.5,19.2,20.1,19.9,19.8,1.0,19.4,19.1,19.9,19.6,19.6,1.0,19.1,18.9,19.7,19.2,19.4
44,Texas,0.45,19.5,20.7,21.1,20.9,20.7,0.45,19.6,20.6,21.1,20.8,20.7,0.39,19.5,20.4,21.1,20.6,20.5
45,Utah,1.0,19.5,19.9,20.8,20.6,20.3,1.0,19.7,19.9,20.9,20.5,20.4,1.0,19.5,20.0,20.8,20.3,20.3
46,Vermont,0.29,23.3,23.1,24.4,23.2,23.6,0.24,23.9,23.4,24.9,23.8,24.1,0.2,23.9,23.3,25.0,23.9,24.1
47,Virginia,0.29,23.5,23.3,24.6,23.5,23.8,0.24,23.8,23.3,24.7,23.5,23.9,0.21,23.8,23.3,24.8,23.6,24.0
48,Washington,0.29,20.9,21.9,22.1,22.0,21.9,0.24,21.4,22.2,22.7,22.0,22.2,0.24,21.3,22.1,22.7,21.9,22.1
49,West Virginia,0.69,20.0,19.4,21.2,20.5,20.4,0.65,19.8,19.4,21.3,20.4,20.3,0.49,20.6,19.7,21.7,20.7,20.8
50,Wisconsin,1.0,19.7,20.4,20.6,20.9,20.5,1.0,19.8,20.3,20.6,20.8,20.5,1.0,19.4,20.2,20.4,20.6,20.3
51,Wyoming,1.0,19.4,19.8,20.8,20.6,20.2,1.0,19.0,19.7,20.6,20.3,20.0,1.0,18.8,19.4,20.4,20.0,19.8
